timestamp_us,relative_time_ms,accel_x_mg,accel_y_mg,accel_z_mg,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_magnitude,gyro_magnitude
442232.468,0.0,155.0,-986.0,-176.0,420.0,-770.0,-630.0,1013.5072767375674,1079.907403437906
442232.468,0.0,158.0,-986.0,-175.0,420.0,-700.0,-630.0,1013.7973170215041,1031.1643903859365
442232.468,0.0,157.0,-986.0,-175.0,490.0,-840.0,-560.0,1013.6419486189391,1122.1853679316978
442232.468,0.0,158.0,-987.0,-175.0,420.0,-840.0,-490.0,1014.7699246627286,1059.292216529509
442232.468,0.0,155.0,-986.0,-175.0,420.0,-770.0,-490.0,1013.3341008769023,1004.6890066085126
442232.468,0.0,154.0,-986.0,-175.0,420.0,-840.0,-560.0,1013.1816224152509,1093.4349546269316
442232.468,0.0,154.0,-987.0,-176.0,420.0,-840.0,-560.0,1014.3278562673905,1093.4349546269316
442232.468,0.0,156.0,-987.0,-175.0,420.0,-700.0,-630.0,1014.4604477257849,1031.1643903859365
442232.468,0.0,156.0,-986.0,-175.0,420.0,-700.0,-700.0,1013.4875430906884,1075.3604047016051
442232.468,0.0,157.0,-986.0,-176.0,420.0,-700.0,-630.0,1013.8150718942779,1031.1643903859365
442232.468,0.0,158.0,-986.0,-175.0,420.0,-770.0,-560.0,1013.7973170215041,1040.6248123122955
442232.468,0.0,156.0,-987.0,-176.0,490.0,-840.0,-490.0,1014.6334313435567,1088.9444430272831
442232.468,0.0,155.0,-986.0,-175.0,420.0,-770.0,-560.0,1013.3341008769023,1040.6248123122955
442232.468,0.0,154.0,-986.0,-175.0,420.0,-770.0,-630.0,1013.1816224152509,1079.907403437906
442232.468,0.0,156.0,-985.0,-176.0,350.0,-770.0,-630.0,1012.6880072361872,1054.6563421323553
442232.468,0.0,156.0,-986.0,-176.0,420.0,-700.0,-630.0,1013.660692736973,1031.1643903859365
442232.468,0.0,157.0,-986.0,-175.0,350.0,-700.0,-560.0,1013.6419486189391,962.3408959407265
442232.468,0.0,156.0,-987.0,-176.0,350.0,-770.0,-560.0,1014.6334313435567,1014.3963722332606
442232.468,0.0,155.0,-987.0,-177.0,420.0,-770.0,-560.0,1014.654128262434,1040.6248123122955
442232.468,0.0,155.0,-987.0,-175.0,420.0,-840.0,-490.0,1014.3071526909391,1059.292216529509
442232.468,0.0,154.0,-987.0,-175.0,350.0,-770.0,-630.0,1014.1548205279113,1054.6563421323553
442232.468,0.0,155.0,-987.0,-176.0,420.0,-770.0,-630.0,1014.4801624477435,1079.907403437906
442232.468,0.0,156.0,-986.0,-176.0,420.0,-700.0,-630.0,1013.660692736973,1031.1643903859365
442232.468,0.0,156.0,-986.0,-177.0,420.0,-770.0,-630.0,1013.834799166018,1079.907403437906
442232.468,0.0,156.0,-986.0,-176.0,490.0,-840.0,-560.0,1013.660692736973,1122.1853679316978
442232.468,0.0,156.0,-986.0,-176.0,420.0,-840.0,-560.0,1013.660692736973,1093.4349546269316
442232.468,0.0,155.0,-986.0,-175.0,420.0,-840.0,-560.0,1013.3341008769023,1093.4349546269316
442232.468,0.0,154.0,-987.0,-175.0,420.0,-770.0,-630.0,1014.1548205279113,1079.907403437906
442232.468,0.0,155.0,-987.0,-176.0,420.0,-840.0,-560.0,1014.4801624477435,1093.4349546269316
442232.468,0.0,156.0,-986.0,-176.0,420.0,-770.0,-630.0,1013.660692736973,1079.907403437906
442232.468,0.0,158.0,-986.0,-176.0,420.0,-700.0,-630.0,1013.9704137695537,1031.1643903859365
442232.468,0.0,157.0,-985.0,-176.0,560.0,-840.0,-560.0,1012.8425346518579,1154.469575172945
442232.468,0.0,155.0,-987.0,-176.0,420.0,-840.0,-560.0,1014.4801624477435,1093.4349546269316
442232.468,0.0,155.0,-987.0,-175.0,420.0,-770.0,-630.0,1014.3071526909391,1079.907403437906
442232.468,0.0,154.0,-987.0,-175.0,420.0,-770.0,-630.0,1014.1548205279113,1079.907403437906
442232.468,0.0,155.0,-987.0,-175.0,420.0,-700.0,-630.0,1014.3071526909391,1031.1643903859365
442232.468,0.0,157.0,-987.0,-175.0,420.0,-770.0,-630.0,1014.6147051960168,1079.907403437906
442232.468,0.0,158.0,-986.0,-177.0,350.0,-840.0,-560.0,1014.1444670262714,1068.5036265731624
442232.468,0.0,158.0,-986.0,-176.0,420.0,-770.0,-560.0,1013.9704137695537,1040.6248123122955
442232.468,0.0,155.0,-986.0,-175.0,420.0,-840.0,-560.0,1013.3341008769023,1093.4349546269316
442232.468,0.0,154.0,-986.0,-175.0,350.0,-840.0,-560.0,1013.1816224152509,1068.5036265731624
442232.468,0.0,153.0,-987.0,-175.0,350.0,-770.0,-560.0,1014.0034516706538,1014.3963722332606
442232.468,0.0,155.0,-987.0,-175.0,420.0,-700.0,-630.0,1014.3071526909391,1031.1643903859365
442232.468,0.0,157.0,-987.0,-175.0,420.0,-770.0,-630.0,1014.6147051960168,1079.907403437906
442232.468,0.0,158.0,-985.0,-175.0,420.0,-700.0,-560.0,1012.8247627304538,989.9494936611666
442232.468,0.0,158.0,-986.0,-175.0,420.0,-840.0,-560.0,1013.7973170215041,1093.4349546269316
442232.468,0.0,156.0,-986.0,-175.0,420.0,-840.0,-490.0,1013.4875430906884,1059.292216529509
442232.468,0.0,154.0,-986.0,-175.0,420.0,-770.0,-490.0,1013.1816224152509,1004.6890066085126
442232.468,0.0,153.0,-987.0,-175.0,420.0,-770.0,-560.0,1014.0034516706538,1040.6248123122955
442232.468,0.0,155.0,-987.0,-175.0,420.0,-700.0,-630.0,1014.3071526909391,1031.1643903859365
442232.468,0.0,156.0,-986.0,-175.0,350.0,-700.0,-630.0,1013.4875430906884,1004.6890066085126
442232.468,0.0,158.0,-986.0,-175.0,420.0,-770.0,-630.0,1013.7973170215041,1079.907403437906
442232.468,0.0,158.0,-986.0,-175.0,350.0,-770.0,-630.0,1013.7973170215041,1054.6563421323553
442232.468,0.0,157.0,-985.0,-175.0,350.0,-840.0,-560.0,1012.6692451141192,1068.5036265731624
442232.468,0.0,155.0,-986.0,-176.0,490.0,-840.0,-560.0,1013.5072767375674,1122.1853679316978
442232.468,0.0,154.0,-986.0,-175.0,420.0,-700.0,-560.0,1013.1816224152509,989.9494936611666
442232.468,0.0,154.0,-986.0,-175.0,490.0,-700.0,-560.0,1013.1816224152509,1021.6163663528497
442232.468,0.0,155.0,-986.0,-175.0,420.0,-700.0,-700.0,1013.3341008769023,1075.3604047016051
442232.468,0.0,157.0,-986.0,-175.0,350.0,-700.0,-630.0,1013.6419486189391,1004.6890066085126
442232.625,0.00015700000000651925,158.0,-986.0,-176.0,420.0,-770.0,-560.0,1013.9704137695537,1040.6248123122955
442232.625,0.00015700000000651925,156.0,-986.0,-176.0,420.0,-840.0,-560.0,1013.660692736973,1093.4349546269316
442232.625,0.00015700000000651925,156.0,-986.0,-175.0,420.0,-770.0,-560.0,1013.4875430906884,1040.6248123122955
442232.625,0.00015700000000651925,155.0,-987.0,-175.0,350.0,-770.0,-560.0,1014.3071526909391,1014.3963722332606
442232.625,0.00015700000000651925,154.0,-986.0,-175.0,420.0,-770.0,-560.0,1013.1816224152509,1040.6248123122955
442232.625,0.00015700000000651925,155.0,-986.0,-175.0,420.0,-840.0,-630.0,1013.3341008769023,1130.884609498246
442232.625,0.00015700000000651925,156.0,-986.0,-176.0,350.0,-770.0,-700.0,1013.660692736973,1097.9070998950685
442232.625,0.00015700000000651925,156.0,-987.0,-175.0,350.0,-770.0,-630.0,1014.4604477257849,1054.6563421323553
442232.625,0.00015700000000651925,157.0,-986.0,-175.0,350.0,-770.0,-560.0,1013.6419486189391,1014.3963722332606
442232.625,0.00015700000000651925,156.0,-986.0,-175.0,420.0,-840.0,-560.0,1013.4875430906884,1093.4349546269316
